"","text"
"1","pemesanan go food memuaskansistem kupon terpakai otomatis menyulitkan saldo pesanan minimum mencukupi kupon terpakai lokasi pengiriman makanan gps pilih cancel dikenakan charge tambahan driver tujuan pengantaran berbeda kecewa kebijakan "
"2","sistem upgrade plus yg buruk cuma bagusup transfer sejenisnya ktp foto persyaratan berkali ditolak dibandingkan aplikasi dana ovo aplikasi gojek cocok order ojek service "
"3","aplikasi tokai makin makin menurun performanya biaya layanan aja digedein tpi aplikasi makin anjlok biaya layanan buat tiba ngecancel pas udah menunggu dimuat ulang berulang gak smpe restart hp coba pesan tetep gak bisaaaa maunyaa apaaa anjerrr otw uninstall"
"4"," voucher yg diskon pesanan minimal ordersangat berbeda grab yg pilih diskonnya gocarnya estimasi yg km tiba tiba kmjadinya memenunggu driver "
"5"," aplikasi gojek tampilan nya kenapa tampilan saldo lihat riwayat transaksi aja kocak aplikasi pas pilih bantuan laporan notifikasi nya server padat merayap hadeh "
"6","berulang walau update aplikasi menghubungkan pembayaran sinyal oke pake wifi berulang direfresh kalo amu bukti foto nya kasih gimana gak klaim pengguna kecewa"
"7","tolong perbaiki gofood reguler hemat enggak bedanya pakai voucher diskon ongkir hemat harga nggak berubah layanan sediakan estimasi buat bedakan hitung cuma beda reguler hemat aja nggak perbedaan y terimakasih "
"8","aplikasi membagong kanmenunggu driver driver gocar nya jebak macetaneh driver terdekat nya kmyang tadi nya cepat malah telatdah pindah aplikasi gojek kayak nya bangkrut"
"9","kenapa pesan go ride pemesanan pesan cuman bersamaanbahkan lokasi titik jemput yg pesanan titik jemput nya jakarta surabaya memesanan pencet fitur one tap go ride kok titik jemput nya fitur one tap bekerja mohon diperbaikiðÿ "
"10","aplikasinya aneh bagus up saldo gojek via bank transfer buat bayar tagihan pbb cek totalin pas segitu bayar tagihan kok malah bagus up minumum ewallet segitu biaya admin barulah tertulis caskback rb rb gak kok saldonya transaksi kutotalin iya bener lah kok bagus up rb sisa saldo harusnya rb dong rb "
"11","bersiap siaplah menyusul jd id goto jiwa kompetisi kompetitor bermunculan berkembang inovasi monoton cuma situ cuma menaikan keuangan berlipat dalih biaya berpikir dampak lihatlah pelanggan berpindah aplikasi sebelah report kajian soal begini "
"12"," aplikasinya gimana kemarin gk fitur tarik tunai habis update fiturnya tpi gk kode transaksi nya gk udah mencoba berulang tetep gk kode transaksinya tolong dong diperbaiki "
"13"," buruk harga mahal grab motor driver aplikasi helm penumpang jelek bau tali helm rusak ga kaca eror tiba maps ga kebaca pasang titik manual sinyal lancar aplikasi ter update "
"14","barusan orderan gofood apk pembayaran kartu kredit parahnya orderan meng klik order sehari beli jadinya orderan dikeranjang kenapa klik order tiba meng order sendirinya dirugikan "
"15","tolong perbaiki interface pembayaran lah dibuat halaman dimana pilihan pembayaran nampak minimal per kategori dibuat bertahap halaman bikin bingung terbiasa ui gojek pake jebakan betmen pesan segala nyebelin tau "
"16","tampilan versi membingungkan go send alamat kontak yg disimpan letaknya membingungkan harap rubah tampilannya semula"
